record_type,year,species,band,beak_length_mm,beak_depth_mm,mid_parent_bd,male_parent_bd,female_parent_bd
beak,1975,fortis,2,9.4,8,,,
beak,1975,fortis,9,9.2,8.3,,,
beak,1975,fortis,12,9.5,7.5,,,
beak,1975,fortis,15,9.5,8,,,
beak,1975,fortis,305,11.5,9.9,,,
beak,1975,fortis,307,11.1,8.6,,,
beak,1975,fortis,308,9.9,8.4,,,
beak,1975,fortis,309,11.5,9.8,,,
beak,1975,fortis,311,10.8,9.2,,,
beak,1975,fortis,312,11.3,9,,,
beak,1975,fortis,313,11.5,9.5,,,
beak,1975,fortis,314,11.5,8.9,,,
beak,1975,fortis,315,9.7,8.8,,,
beak,1975,fortis,316,10.9,9.7,,,
beak,1975,fortis,316,10.9,9.85,,,
beak,1975,fortis,320,10.1,8.9,,,
beak,1975,fortis,321,10.6,8.5,,,
beak,1975,fortis,323,9.6,8.2,,,
beak,1975,fortis,324,10.3,9.3,,,
beak,1975,fortis,326,10.5,9.1,,,
beak,1975,fortis,328,10.5,8.8,,,
beak,1975,fortis,329,10.9,9.4,,,
beak,1975,fortis,330,11.2,9.6,,,
beak,1975,fortis,340,9.4,8.5,,,
beak,1975,fortis,341,10.1,8.1,,,
beak,1975,fortis,342,9.6,8,,,
beak,1975,fortis,343,10.5,9.7,,,
beak,1975,fortis,344,9.9,8.2,,,
beak,1975,fortis,345,9.9,8.4,,,
beak,1975,fortis,346,9.6,7.9,,,
beak,1975,fortis,347,10.7,9.3,,,
beak,1975,fortis,348,11.8,10.5,,,
beak,1975,fortis,349,10.2,9.7,,,
beak,1975,fortis,350,10.9,9.6,,,
beak,1975,fortis,352,9.3,7.7,,,
beak,1975,fortis,354,11.6,9.8,,,
beak,1975,fortis,355,11.2,9.8,,,
beak,1975,fortis,356,10.1,8.5,,,
beak,1975,fortis,360,10.7,9.2,,,
beak,1975,fortis,366,11,10.1,,,
beak,1975,fortis,368,10.8,9,,,
beak,1975,fortis,369,10.2,9,,,
beak,1975,fortis,401,10.8,9.4,,,
beak,1975,fortis,402,10.4,8.8,,,
beak,1975,fortis,403,11.2,9.9,,,
beak,1975,fortis,405,11.4,9.9,,,
beak,1975,fortis,410,10.9,8.9,,,
beak,1975,fortis,411,10.4,9.4,,,
beak,1975,fortis,413,9.7,8.2,,,
beak,1975,fortis,414,10.2,8.2,,,
beak,1975,fortis,415,9.2,8.1,,,
beak,1975,fortis,416,10.1,8.4,,,
